code,title,genre,age,openDate,rate,participate,actors,story,,,,,,,,,,,,,,,
213540,1945 그레이트 워 : 네이버 영화,전쟁,15세 관람가,2022.06,,,로랑 체룰리,1945년 2차전쟁시기 노르망디 전투 이후 프랑스군 소대는 보주산맥에서 독일군에 패배해 후퇴한다. 이후 프랑스군 소대는 독일군의 중요 방어선인 예브스하임 습격작전을 펼친다. 이를 위해 어린 신병들이 도착하자 보주산맥 전투에서 전우를 잃은 헤냑상병은 전쟁의 피폐함을 전하며 염세적인 태도로 일관한다. 그 과정에서 연합국 미군과 감정적인 마찰을 빚은 채 전투에 나선다. 연합군은 혹독한 겨울을 견뎌내며 열세의 상황 속 필사의 전투를 펼치는데...,,,,,,,,,,,,,,,
176037,1975 킬링필드, 푸난 : 네이버 영화,애니메이션,드라마,12세 관람가, 2022.01.27,,,베레니스 베조,루이 가렐,1975년, 캄보디아 수도 프놈펜이<br/>공산주의 무장단체 크메르 루주에 의해 장악된다.<br/>평범한 삶을 살던 '슈'의 가족들은 하루아침에 길 위로 내몰리고<br/>피난 중에 3살 아들 '소반'이 없어진다.<br/>희망 없는 현실 속에서 모든 걸 포기하려는 순간,<br/>'슈'에게 아들을 만날 마지막 기회가 찾아온다.,,,,,,,,,,
213580,3.5교시 : 네이버 영화,미스터리,판타지,멜로/로맨스,12세 관람가, 2022.04.14,,,조아,임지섭,김우진,명문 신하고등학교에는 3교시와 4교시 사이에 비밀이 한가지 숨겨져 있다.<br/>바로 시간이 10배 느리게 흐르고, 10분이 100분이 되는 3.5교시가 존재한다는 것!<br/>백아진(조아)은 3.5교시에 우연히 들어가고 그곳에 갇혀 있던 남학생 강다원(임지섭)을 만난다.<br/>다원을 3.5교시로부터 탈출시키기 위해 아진은 그 곳에 숨겨진 미스테리를 풀어나간다.<br/>그러나 이를 방해하는 자들이 학교에 존재하고 3.5교시를 숨기려고 애쓰는데…<br/><br/>과연 신하고의 3.5교시에는 어떤 비밀이 숨겨져 있는 것일까?<br/>다원은 3.5교시를 무사히 탈출해 아진을 만날 수 있을까?,,,,,,,,,,
193794,355 : 네이버 영화,액션,스릴러,15세 관람가, 2022.02.09,6.01,504,제시카 차스테인,다이앤 크루거,페넬로페 크루즈,인류를 위협하는 사상 초유의 위기 발생!<br/>글로벌 범죄조직에 의해 전 세계 국가 시스템을 초토화 시킬<br/>일급 기밀 무기를 도난당하는 사건이 발생하고<br/><br/>CIA 요원 `메이스`(제시카 차스테인)은<br/>전 세계 최정예 블랙 에이전트를 모아 TEAM`355`를 결성한다.<br/>하나의 목표를 위해 원팀이 된 TEAM`355`는<br/>역대급 미션을 수행하기 위한 비공식 합동작전에 돌입하는데…<br/><br/>월드클래스 블랙 에이전트 TEAM ‘355’<br/>드디어 그들이 움직인다!<br/>모두가 기다린 초대형 액션 블록버스터가 온다!,,,,,,,,,,,,
154485,4월은 너의 거짓말 : 네이버 영화,멜로/로맨스,전체 관람가, 2022.04.20,7.44,36,히로세 스즈,야마자키 켄토,이시이 안나,모노톤의 인생을 살고 있는<br/>천재 피아니스트 ‘코세이’<br/>어느 날 바이올리니스트 ‘카오리’를 만난다.<br/>어머니의 사망 이후 피아노를 치지 않는 ‘코세이’에게<br/>‘카오리’는 콩쿨에서 함께 연주해 줄 것을 부탁하는데…<br/><br/>벚꽃처럼 나타난 너, <br/>컬러풀한 세상을 연주하기 시작한다!,,,,,,,,,,,,
213630,7인의 악인전 : 네이버 영화,무협,액션,15세 관람가, 2022.03.24,,,,포도대장 ‘양지’가 황금 10만 냥을 호송한다는 정보를 입수한<br/>의적 ‘조개’는 여섯 명의 아우들을 불러 모아 황금 탈취 계획을 세운다.<br/>‘조개’는 호송대에 잠입한 ‘원소칠’ 덕분에 황금을 탈취하는 데 성공하지만,<br/>황금이 가득해야 할 상자 안에는 돌만 가득 차 있는데...,,,,,,,,,,,,,
214569,B컷 : 네이버 영화,범죄,액션,스릴러,청소년 관람불가, 2022.03.30,4.44,221,김동완,전세현,김병옥,스마트폰수리 및 데이터 복구 업체를 운영하는 ‘승현’은 고객들의 B컷,<br/>즉 숨기고 싶어 삭제했던 데이터까지 복구해서 협박하며 돈을 뜯어낸다.<br/>어느날, 한때 최고의 여배우였던 ‘민영’은 ‘승현’에게 망가진 핸드폰 수리를 맡기고, 그 폰 안에서 찾아낸 ‘민영’의 B컷에는 그의 남편이자 유력한 대통령 후보자인 ‘태산’의 충격적인 진실이 들어있는데…!<br/><br/>누군가에게는 살기 위해 반드시 공개해야만 하는,<br/>누군가에게는 살기 위해 반드시 숨겨야만 하는 대선후보 스마트폰 안의 B컷이 잠금해제 된다.,,,,,,,
217035,DC 리그 오브 슈퍼-펫 : 네이버 영화,애니메이션,액션,모험,,2022.08,,,드웨인 존슨,케빈 하트,키아누 리브스,악당 렉스 루터의 계략으로 위험에 빠진 슈퍼맨을 비롯한 저스티스 리그의 슈퍼 히어로들을 구하기 위해 슈퍼독 크립토와 슈퍼 펫 친구들이 벌이는 파워 댕댕 모험을 그린 이야기.,,,,,,,,,,,
213575,FBI 데스트랩 : 네이버 영화,액션,범죄,스릴러,15세 관람가,2022.03,,,메간 폭스,브루스 윌리스,플로리다 펜사콜라에서 미해결 사건으로 남은 줄로만 알았던 살인 사건이 다시 수면 위로 떠오르자 플로리다 경찰이 수사에 나선다. 한편, 오랫동안 미성년자 소녀들을 노리는 인신매매범을 쫓던 FBI 요원 칼과 롬바르도는 펜사콜라 사건 소식을 듣고 묘한 연관성을 느껴 플로리다 경찰인 바이런과 협조하에 사건을 조사한다. 범인을 잡기 위해 롬바르도는 다시 한번 위험천만한 덫을 놓기로 하고, 범인과 약속을 잡지만 오히려 자신이 덫에 걸리고 마는데…,,,,,,,,,,
213572,가무악칠채 : 네이버 영화,,전체 관람가, 2022.03.17,,,,젊은 ‘가.무.악’ 꾼들의 에너지로, ‘칠채’의 무한 변주!<br/>국립무용단 ‘가무악칠채’<br/>◈ 국립무용단원 이재화, 차세대 무용수를 넘어 안무가로서 가능성 증명<br/>- 2018년 초연, 관객과 평단의 호평 받은 이재화의 안무 데뷔작<br/>◈ 전통 장단인 ‘칠채’, 동시대 감각으로 유쾌하게 풀어내다<br/>- 농악에 쓰여 온 빠르고 현란한 칠채 장단의 무한 변주<br/>◈ 예술적 상상력을 끌어내는 춤, 음악, 인터랙티브 영상의 조화<br/>- 무대 위 모든 요소를 아우르는 새로운 시도로 새로운 칠채를 탄생시키다<br/>◈ 국내 최고의 가·무·악 ‘꾼’들이 한자리에!<br/>- 국립무용단 무용수 7인, 실력파 연주자 7인, 소리꾼 김준수와 가객 박민희까지<br/><br/>국립극장(극장장 김철호) 전속단체 국립무용단(예술감독 손인영)은 오는 11월 20일(금)부터 22일(일)까지 국립무용단원 이재화 안무의 ‘가무악칠채’를 달오름극장에서 공연한다. 뛰어난 테크닉과 탁월한 리듬감을 지닌 무용수로 주목받아온 국립무용단원 이재화의 안무작으로, 농악에서 주로 쓰이는 칠채 장단을 활용해 우리 춤의 새로운 매력을 선보인다. 2018년 국립무용단 차세대 안무가 발굴 프로젝트 ‘넥스트 스텝Ⅰ’에서 30분가량으로 창작된 소품을 2배 분량으로 확장, 발전시켜 같은 해 말에 국립무용단 정규 레퍼토리로 선보인 작품이다.<br/>‘가무악칠채’는 칠채 장단의 무한한 변주를 주제로 한다. ‘칠채’는 농악 행진에 쓰이는 빠르고 현란한 장단으로, 한 장단에 징을 일곱 번 치는 데서 유래한 명칭이다. ‘가무악칠채’는 칠채를 노래·춤·연주 등을 통해 다각도로 변주함으로써 장단과 몸의 감각이 충돌하며 생기는 표현의 확장에 초점을 맞춘 작품이다. 전통 장단을 소재로 하지만 결코 무겁거나 난해하지 않다. 2018년 초연 당시, 전통 장단과 한국무용을 세련된 감각으로 풀어낸 역동적인 무대로 “록 콘서트를 능가하는 에너지가 느껴지는 작품” “한 번도 지루한 적 없이 신나고 유쾌하다” 등의 호평을 받았다.<br/>이재화는 복잡한 변박으로 이뤄져 무용에서는 좀처럼 사용되지 않는 칠채 장단에 우리 춤사위를 얹어 ‘정중동’의 미학으로 통하는 한국무용의 틀을 깨버린다. 그는 “칠채가 과거의 장단이 아닌 현재의 리듬으로 전달되길 바란다”라며 “음악이나 무용에 대한 사전 지식 없이도 무대 위에 펼쳐지는 칠채 장단의 무한한 변주를 충분히 유쾌하게 즐기실 수 있을 것”이라고 말한다.<br/>2년 만의 재공연을 위해 국내 최고의 가·무·악 ‘꾼’들이 한자리에 모였다. 국립무용단을 이끄는 젊은 무용수 7인과 음악감독 허성은을 필두로 한 연주자 7인, 소리꾼 김준수와 정가 가객 박민희까지 총 16명의 예술가들이 나선다. 무용수로는 초연 무대에 올랐던 송설·이재화·박혜지·이요음·황태인·조승열과 함께 국립무용단의 떠오르는 신예 최호종이 가세해 작품에 활력을 불어넣는다. 국립창극단원 김준수가 칠채 장단을 재담으로 이끌며 흥을 더하고, 새롭게 합류한 가객 박민희는 한 음절을 길게 늘어뜨려 이어가는 정가 창법을 통해 작품에 또 다른 매력을 더할 더한다. 음악감독 허성은은 해금·아쟁·태평소·장구·북·징 같은 국악기와 기타·드럼·베이스 등 서양악기를 함께 사용해 칠채를 다양한 음색으로 표현할 예정이다. 이들은 칠채에 대한 끊임없는 변형과 실험을 하며 긴장감 넘치는 공연으로 다시 관객을 만날 준비를 하고 있다.<br/>이번 재공연에서는 무용수의 움직임에 따라 유기적으로 변화하는 인터랙티브 영상 기술을 구현할 예정으로, 칠채를 시각화하려는 새로운 연출적 시도가 기대감을 한층 끌어올린다. 이외에도 정가만의 음악 어법으로 새롭게 풀어낸 칠채 장단과 어우러지는 여성 2인무를 구성해 더욱 다채로운 흐름으로 전개될 예정이다.
