code,title,genre,age,openDate,rate,participate,actors,story,,,,,,,,,,,,,
99702,007 노 타임 투 다이 : 네이버 영화,액션,12세 관람가, 2021.09.29,6.76,4,,,,,,,,,,,,,,,
148043,117편의 러브레터 : 네이버 영화,멜로/로맨스,,,,,,,,,,,,,,,,,,,
204776,120시간: 로스트 인 아웃백 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
199665,1984 최동원 : 네이버 영화,다큐멘터리,전체 관람가, 2021.11.11,8.93,190,최동원,무쇠팔,, 완봉승, 완투승, 구원승<br/>전세계 유일무이 깨지지 않을 만화 같은 기록 <br/><br/>희망, 열정, 도전, 투혼<br/>‘기록’이 아닌 ‘기적’을 선물한 최동원 선수  <br/><br/>눈물 나게 그리운 그 이름<br/>무쇠팔 최동원 10주기 첫 번째 다큐멘터리<br/>“야구가 제 인생 아니겠습니까”,,,,,,
201842,2021 스웨그 에이지 : 외쳐,,,,,,,,,,,,,,,,,,,,
198765,2067 : 네이버 영화,SF,12세 관람가, 2021.06.03,,,코디 스밋 맥피,,,,,,,,,,,,,,
202533,300: 전사의 귀환 : 네이버 영화,액션,15세 관람가, 2021.03.22,,,아론 브롬버그,로마 제국의 지배를 받던 브리튼은 로마 군대 철수 후 자유를 얻는다.<br/>그러나 계속되는 픽트족의 침략에 브리튼의 왕 '보티건'은 두려움에 사로잡힌다.<br/>픽트족에 맞설만한 힘이 없는 보티건은 결국 색슨족과 동맹을 맺게 되고,,,,,,,,,,,,,
200743,365일: 비밀의 여자 : 네이버 영화,스릴러,청소년 관람불가, 2021.02.08,,,엘리아스 하저,,,,,,,,,,,,,,
174831,3개의 얼굴들 : 네이버 영화,드라마,15세 관람가, 2021.03.04,,,베나즈 자파리,,,,,,,,,,,,,,
195072,438일 : 네이버 영화,드라마,15세 관람가, 2021.01.21,,,구스타프 스카스가드,,,,,,,,,,,,,,
163676,8년을 뛰어넘은 신부 : 네이버 영화,멜로/로맨스,,,,,,,,,,,,,,,,,,,
201885,BBC프롬스: 거슈윈 영화 음악 콘서트 : 네이버 영화,,전체 관람가, 2021.04.01,,,,대중음악 역사상 가장 위대한 작곡가로 평가받는 조지 거슈윈의 영화 음악 콘서트 실황이다. 오드리 헵번 주연의 <화니 페이스>부터 최근 리메이크되어 큰 사랑을 받은 <스타 이즈 본>의 첫 번째 리메이크작까지,,,,,,,,,,,,,
202529,BBC프롬스: 그라치니테-틸라와 버밍엄 심포니 : 네이버 영화,,전체 관람가, 2021.03.02,,,,영국 런던의 로열 앨버트 홀에서 개최되는 세계적인 클래식 음악 축제의 공연 실황<br/>여성 최초,,,,,,,,,,,,,
201968,BBC프롬스: 아르헤리치와 바렌보임 콘서트 : 네이버 영화,,전체 관람가, 2021.02.02,,,,영국 런던의 로열 앨버트 홀에서 개최되는 세계적인 클래식 음악 축제 공연 실황이다. 세계적인 지휘자이자 피아니스트,,,,,,,,,,,,,
201897,B급 청춘 : 네이버 영화,드라마,15세 관람가, 2021.06.16,,,정수련,,,,,,,,,,,,,,
197468,CCTV : 네이버 영화,공포,15세 관람가, 2021.07.07,5.41,286,곽도원,,,,,,,,,,,,,,
208655,F20 : 네이버 영화,스릴러,15세 관람가, 2021.10.06,5.65,268,장영남,,,,,,,,,,,,,,
201956,IS 탈출 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
194660,UFO 스케치 : 네이버 영화,다큐멘터리,전체 관람가, 2021.03.04,9.23,31,맹성렬,,,,,,,,,,,,,,
189457,#아이엠히어 : 네이버 영화,멜로/로맨스,,,,,,,,,,,,,,,,,,,
192865,#위왓치유 : 네이버 영화,다큐멘터리,청소년 관람불가, 2021.06.03,9,48,,평범한 집처럼 꾸며진 3개의 세트장,,,,,,,,,,,,,
213635,가면-감춰진 진실 : 네이버 영화,다큐멘터리,12세 관람가, 2021.12.31,,,,중국이 수십억 달러를 들여 설립한 ‘공자학원’이라는 중국어 학습기관의 정체를 폭로하고,,,,,,,,,,,,,
173770,가족은 괴로워3: 아내여 장미처럼 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
179319,가족의 색깔 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
209100,가치 캅시다 : 네이버 영화,드라마,15세 관람가, 2021.10.28,7.71,70,김기현,,, 자신이 미군이 된다는 것을 지독히 반대하는 누군가를 설득해야 하는 마지막 절차가 남았는데...! <br/><br/>“아무 것도 가진 것 없는 네가 잘 되는 게 그냥 싫어!”<br/>한국을 벗어나기 위한 선택지가 미군이 되는 것, 그 하나만이 아니었다?!<br/>눈 돌아간 해진의 충격적인 반격을 확인하라!,,,,,,,,,,
194022,간이역 : 네이버 영화,드라마,12세 관람가, 2021.02.18,7.22,93,김동준,,,,,,,,,,,,,,
195164,간호중 : 네이버 영화,SF,15세 관람가, 2021.12.02,8,55,이유영,,,,,,,,,,,,,,
194097,갈매기 : 네이버 영화,드라마,15세 관람가, 2021.07.28,8.65,78,정애화,잘못은 그 새끼가 했는데,,,,,,,,,,,,,
208530,강릉 : 네이버 영화,범죄,,,,,,,,,,,,,,,,,,,
173029,강호아녀 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
201791,개그 더 크라운 : 네이버 영화,코미디,,,,,,,,,,,,,,,,,,,
206933,건담 G의 레콘기스타 2: 벨리 격진 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
207182,건파우더 밀크셰이크 : 네이버 영화,액션,청소년 관람불가, 2021.09.08,6.53,454,카렌 길런,,,,,,,,,,,,,,
175052,걸 : 네이버 영화,드라마,15세 관람가, 2021.01.07,8.61,57,빅터 폴스터,,,,,,,,,,,,,,
197461,게임의 법칙: 인간사냥 : 네이버 영화,스릴러,청소년 관람불가, 2021.01.28,3.72,68,김성수,,,,,,,,,,,,,,
203570,경고 : 네이버 영화,공포,,,,,,,,,,,,,,,,,,,
194909,고백 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
210801,고스트 라이트 : 네이버 영화,스릴러,,,,,,,,,,,,,,,,,,,
201195,고스트 킬러 vs 블러디 메리 : 네이버 영화,공포,,,,,,,,,,,,,,,,,,,
182578,고스트버스터즈 라이즈 : 네이버 영화,서스펜스,,,,,,,,,,,,,,,,,,,
195962,고양이에게 밥을 주지 마세요 : 네이버 영화,다큐멘터리,전체 관람가, 2021.11.11,5.48,1,,,,,,,,,,,,,,,
209496,고장난 론 : 네이버 영화,애니메이션,전체 관람가, 2021.10.27,8.98,1,,,,,,,,,,,,,,,
191637,고질라 VS. 콩 : 네이버 영화,액션,12세 관람가,,,,,,,,,,,,,,,,,,
197491,골든맨 : 네이버 영화,범죄,,,,,,,,,,,,,,,,,,,
206177,공작조: 현애지상 : 네이버 영화,범죄,,,,,,,,,,,,,,,,,,,
191267,관계의 가나다에 있는 우리는 : 네이버 영화,드라마,전체 관람가, 2021.01.28,8.3,60,은해성,,,,,,,,,,,,,,
205629,괴기맨숀 : 네이버 영화,공포,15세 관람가, 2021.06.30,6.09,497,성준,,,,,,,,,,,,,,
