movieid,title,url,Image,genre,age,runningtime,opendate,rate,actors,story,story_cleaning,result,result2,genre2,combined
0,007 노 타임 투 다이,http://www.cine21.com/movie/info/?movie_id=54726,"https://image.cine21.com/resize/cine21/poster/2021/0915/54726_6141aa99468ae[X224,320].jpg",액션,12세이상관람가, 163분, 2021-09-29,7.0," 
													다니엘 크레이그(제임스 본드)													라미 말렉(사핀)													 ",가장 강력한 운명의 적과 마주하게된 제임스 본드의 마지막 미션이 시작된다,가장 강력한 운명의 적과 마주하게된 제임스 본드의 마지막 미션이 시작된다,"['가장', '강력하다', '운명', '적', '마주', '제임스', '본드', '마지막', '미션', '시작']",가장 강력하다 운명 적 마주 제임스 본드 마지막 미션 시작,액션,액션 가장 강력하다 운명 적 마주 제임스 본드 마지막 미션 시작
1,1984 최동원,http://www.cine21.com/movie/info/?movie_id=57692,"https://image.cine21.com/resize/cine21/poster/2021/1108/57692_6188812720cca[X224,320].jpg",다큐멘터리,전체 관람가, 98분, 2021-11-11,7.0," 
													최동원													조진웅(내레이션)													 ","무쇠팔, 부산의 심장, 최고의 투수, 등번호 11번, 불꽃 투혼, 금테 안경
우리가 그를 부르는 이름
프로야구 역사상 가장 극적인 우승, 레전드 한국 시리즈, 기적 같은 우승
우리가 기억하는 1984년 가을
1984년 프로야구 한국 시리즈 롯데 자이언츠 vs 삼성 라이온즈
모두가 절대 강자 삼성의 우승을 의심하지 않던 한국시리즈
“코리안 시리즈에 올라왔으니까, 제가 힘이 되는 데 까지는 열심히 해서
전 게임을 다 나가더라도 이길 수 있는 게임은 전부다 이기고 싶습니다”
한국시리즈 7차전 5번 등판, 4승 1패, 완봉승, 완투승, 구원승
전세계 유일무이 깨지지 않을 만화 같은 기록
희망, 열정, 도전, 투혼
‘기록’이 아닌 ‘기적’을 선물한 최동원 선수
눈물 나게 그리운 그 이름
무쇠팔 최동원 10주기 첫 번째 다큐멘터리
“야구가 제 인생 아니겠습니까”",무쇠팔 부산의 심장 최고의 투수 등번호 11번 불꽃 투혼 금테 안경 우리가 그를 부르는 이름 프로야구 역사상 가장 극적인 우승 레전드 한국 시리즈 기적 같은 우승 우리가 기억하는 1984년 가을 1984년 프로야구 한국 시리즈 롯데 자이언츠 vs 삼성 라이온즈 모두가 절대 강자 삼성의 우승을 의심하지 않던 한국시리즈 코리안 시리즈에 올라왔으니까 제가 힘이 되는 데 까지는 열심히 해서 전 게임을 다 나가더라도 이길 수 있는 게임은 전부다 이기고 싶습니다 한국시리즈 7차전 5번 등판 4승 1패 완봉승 완투승 구원승 전세계 유일무이 깨지지 않을 만화 같은 기록 희망 열정 도전 투혼 기록 이 아닌 기적 을 선물한 최동원 선수 눈물 나게 그리운 그 이름 무쇠팔 최동원 10주기 첫 번째 다큐멘터리 야구가 제 인생 아니겠습니까 ,"['무쇠팔', '부산', '심장', '최고', '투수', '등', '번호', '번', '불꽃', '투혼', '금테', '안경', '우리', '그', '이름', '프로야구', '역사상', '가장', '극적', '우승', '레전드', '한국', '시리즈', '기적', '같다', '우승', '우리', '기억', '가을', '프로야구', '한국', '시리즈', '롯데', '자이언츠', '삼성', '라이온즈', '모두', '절대', '강', '삼성', '우승', '의심', '한국', '시리즈', '코리안', '시리즈', '제', '힘', '데', '전', '게임', '수', '있다', '게임', '전부', '이기', '한국', '시리즈', '번', '등판', '승', '패', '완봉', '승', '완투승', '구원', '승', '전세계', '유일', '무', '만화', '같다', '기록', '희망', '열정', '도전', '투혼', '기록', '이', '아니다', '기적', '선물', '최동원', '선수', '눈물', '그립다', '그', '이름', '무쇠팔', '최동원', '주기', '첫', '다큐멘터리', '야구', '제', '인생', '아니다']",무쇠팔 부산 심장 최고 투수 등 번호 번 불꽃 투혼 금테 안경 우리 그 이름 프로야구 역사상 가장 극적 우승 레전드 한국 시리즈 기적 같다 우승 우리 기억 가을 프로야구 한국 시리즈 롯데 자이언츠 삼성 라이온즈 모두 절대 강 삼성 우승 의심 한국 시리즈 코리안 시리즈 제 힘 데 전 게임 수 있다 게임 전부 이기 한국 시리즈 번 등판 승 패 완봉 승 완투승 구원 승 전세계 유일 무 만화 같다 기록 희망 열정 도전 투혼 기록 이 아니다 기적 선물 최동원 선수 눈물 그립다 그 이름 무쇠팔 최동원 주기 첫 다큐멘터리 야구 제 인생 아니다,다큐멘터리,다큐멘터리 무쇠팔 부산 심장 최고 투수 등 번호 번 불꽃 투혼 금테 안경 우리 그 이름 프로야구 역사상 가장 극적 우승 레전드 한국 시리즈 기적 같다 우승 우리 기억 가을 프로야구 한국 시리즈 롯데 자이언츠 삼성 라이온즈 모두 절대 강 삼성 우승 의심 한국 시리즈 코리안 시리즈 제 힘 데 전 게임 수 있다 게임 전부 이기 한국 시리즈 번 등판 승 패 완봉 승 완투승 구원 승 전세계 유일 무 만화 같다 기록 희망 열정 도전 투혼 기록 이 아니다 기적 선물 최동원 선수 눈물 그립다 그 이름 무쇠팔 최동원 주기 첫 다큐멘터리 야구 제 인생 아니다
2,355,http://www.cine21.com/movie/info/?movie_id=58794,"https://image.cine21.com/resize/cine21/poster/2022/0209/58794_6203167f45b1f[X224,320].jpg",액션,15세이상관람가, 122분, 2022-02-09,5.67," 
													제시카 차스테인													다이앤 크루거													 ","인류를 위협하는 사상 초유의 위기 발생!
글로벌 범죄조직에 의해 전 세계 국가 시스템을 초토화 시킬
일급 기밀 무기를 도난당하는 사건이 발생하고

CIA 요원 ‘메이스’(제시카 차스테인)는
전 세계 최정예 블랙 에이전트를 모아 TEAM ‘355’를 결성한다.
하나의 목표를 위해 원팀이 된 TEAM ‘355’는
역대급 미션을 수행하기 위한 비공식 합동작전에 돌입하는데…

월드클래스 블랙 에이전트 TEAM ‘355’
드디어 그들이 움직인다!
2022년, 모두가 기다린 초대형 액션 블록버스터가 온다!",인류를 위협하는 사상 초유의 위기 발생 글로벌 범죄조직에 의해 전 세계 국가 시스템을 초토화 시킬 일급 기밀 무기를 도난당하는 사건이 발생하고 CIA 요원 메이스 제시카 차스테인 는 전 세계 최정예 블랙 에이전트를 모아 TEAM 355 를 결성한다 하나의 목표를 위해 원팀이 된 TEAM 355 는 역대급 미션을 수행하기 위한 비공식 합동작전에 돌입하는데 월드클래스 블랙 에이전트 TEAM 355 드디어 그들이 움직인다 2022년 모두가 기다린 초대형 액션 블록버스터가 온다 ,"['인류', '위협', '사상', '초유', '위기', '발생', '글로벌', '범죄', '조직', '의하다', '전', '세계', '국가', '시스템', '초토화', '일급', '기밀', '무기', '도난', '당하다', '사건', '발생', '요원', '메이스', '제시카', '차스테인', '전', '세계', '최', '정예', '블랙', '에이전트', '를', '결성', '하나', '목표', '위해', '팀', '역대', '미션', '수행', '위', '비공식', '합동', '작전', '돌입', '월드', '클래스', '블랙', '에이전트', '그', '모두', '초대형', '액션', '블록버스터']",인류 위협 사상 초유 위기 발생 글로벌 범죄 조직 의하다 전 세계 국가 시스템 초토화 일급 기밀 무기 도난 당하다 사건 발생 요원 메이스 제시카 차스테인 전 세계 최 정예 블랙 에이전트 를 결성 하나 목표 위해 팀 역대 미션 수행 위 비공식 합동 작전 돌입 월드 클래스 블랙 에이전트 그 모두 초대형 액션 블록버스터,액션,액션 인류 위협 사상 초유 위기 발생 글로벌 범죄 조직 의하다 전 세계 국가 시스템 초토화 일급 기밀 무기 도난 당하다 사건 발생 요원 메이스 제시카 차스테인 전 세계 최 정예 블랙 에이전트 를 결성 하나 목표 위해 팀 역대 미션 수행 위 비공식 합동 작전 돌입 월드 클래스 블랙 에이전트 그 모두 초대형 액션 블록버스터
3,B컷,http://www.cine21.com/movie/info/?movie_id=58892,"https://image.cine21.com/resize/cine21/poster/2022/0331/58892_624519a9c6574[X224,320].jpg","액션, 스릴러, 범죄",청소년 관람불가, 93분, 2022-03-30,3.5," 
													김동완(승현)													전세현(민영)													 ","대선후보의 B컷을 둘러싼 충격 스캔들이 펼쳐진다! 
스마트폰 수리 및 데이터 복구 업체를 운영하는 ‘승현’은 고객들의 B컷, 즉 숨기고 싶어 삭제했던 데이터까지 복구해서 협박하며 돈을 뜯어낸다. 
어느 날, 한때 최고의 여배우였던 ‘민영’은 ‘승현’에게 망가진 핸드폰 수리를 맡기고, 그 폰 안에서 찾아낸 ‘민영’의 B컷에는 그의 남편이자 유력한 대통령 후보자인 ‘태산’의 충격적인 진실이 들어있는데…! 

누군가에게는 살기 위해 반드시 공개해야만 하는, 누군가에게는 살기 위해 반드시 숨겨야만 하는 대선후보 스마트폰 안의 B컷이 잠금해제 된다.",대선후보의 B컷을 둘러싼 충격 스캔들이 펼쳐진다 스마트폰 수리 및 데이터 복구 업체를 운영하는 승현 은 고객들의 B컷 즉 숨기고 싶어 삭제했던 데이터까지 복구해서 협박하며 돈을 뜯어낸다 어느 날 한때 최고의 여배우였던 민영 은 승현 에게 망가진 핸드폰 수리를 맡기고 그 폰 안에서 찾아낸 민영 의 B컷에는 그의 남편이자 유력한 대통령 후보자인 태산 의 충격적인 진실이 들어있는데 누군가에게는 살기 위해 반드시 공개해야만 하는 누군가에게는 살기 위해 반드시 숨겨야만 하는 대선후보 스마트폰 안의 B컷이 잠금해제 된다 ,"['대선', '후보', '컷', '충격', '스캔들', '스마트폰', '수리', '및', '데이터', '복구', '업체', '운영', '승현', '은', '고객', '컷', '즉', '숨기', '삭제', '데이터', '복구', '협박', '돈', '날', '최고', '여배우', '민영', '은', '승현', '핸드폰', '수리', '그', '폰', '안', '민영', '의', '컷', '그', '남편', '이자', '유력하다', '대통령', '후보자', '태산', '의', '충격', '진실', '누군가', '살기', '위해', '반드시', '공개', '누군가', '살기', '위해', '반드시', '대선', '후보', '스마트폰', '안', '컷', '해제']",대선 후보 컷 충격 스캔들 스마트폰 수리 및 데이터 복구 업체 운영 승현 은 고객 컷 즉 숨기 삭제 데이터 복구 협박 돈 날 최고 여배우 민영 은 승현 핸드폰 수리 그 폰 안 민영 의 컷 그 남편 이자 유력하다 대통령 후보자 태산 의 충격 진실 누군가 살기 위해 반드시 공개 누군가 살기 위해 반드시 대선 후보 스마트폰 안 컷 해제,액션  스릴러  범죄,액션  스릴러  범죄 대선 후보 컷 충격 스캔들 스마트폰 수리 및 데이터 복구 업체 운영 승현 은 고객 컷 즉 숨기 삭제 데이터 복구 협박 돈 날 최고 여배우 민영 은 승현 핸드폰 수리 그 폰 안 민영 의 컷 그 남편 이자 유력하다 대통령 후보자 태산 의 충격 진실 누군가 살기 위해 반드시 공개 누군가 살기 위해 반드시 대선 후보 스마트폰 안 컷 해제
4,F20,http://www.cine21.com/movie/info/?movie_id=58535,"https://image.cine21.com/resize/cine21/poster/2021/0929/09_55_03__6153b9675e088[X224,320].jpg",스릴러,15세이상관람가, 104분, 2021-10-06,5.5," 
													장영남													김정영													 ","나의 삶은 모든 것이 완벽했다
									어디에 내놔도 자랑스러운 아들을 둔 엄마 ‘애란’은
군 생활을 떠났던 아들 ‘도훈’에게 
조현병이 발병했다는 충격적인 소식을 듣게 된다.

완벽했던 자신의 일상을 빼앗길까 두려운 ‘애란’은 
아들의 병을 숨긴 채 살아가기로 결심하고

그러나, 순조로울 것만 같았던 그녀의 삶에
유일한 비밀을 알고 있는 ‘경화’가 나타나자
‘애란’의 불안은 점점 광기로 변해가는데… 

2021년, 가장 날카롭고 충격적인 영화가 온다!",나의 삶은 모든 것이 완벽했다 어디에 내놔도 자랑스러운 아들을 둔 엄마 애란 은 군 생활을 떠났던 아들 도훈 에게 조현병이 발병했다는 충격적인 소식을 듣게 된다 완벽했던 자신의 일상을 빼앗길까 두려운 애란 은 아들의 병을 숨긴 채 살아가기로 결심하고 그러나 순조로울 것만 같았던 그녀의 삶에 유일한 비밀을 알고 있는 경화 가 나타나자 애란 의 불안은 점점 광기로 변해가는데 2021년 가장 날카롭고 충격적인 영화가 온다 ,"['나', '모든', '것', '완벽하다', '어디', '자랑스럽다', '아들', '엄마', '애란', '은', '군', '생활', '아들', '도훈', '조현병', '발병', '충격', '소식', '완벽하다', '자신', '일상', '두렵다', '애란', '은', '아들', '병', '채', '결심', '조로', '울', '것', '같다', '그녀', '삶', '유일하다', '비밀', '알', '있다', '경화', '애란', '의', '불안', '점점', '광기', '변하다', '가장', '날카롭다', '충격', '영화']",나 모든 것 완벽하다 어디 자랑스럽다 아들 엄마 애란 은 군 생활 아들 도훈 조현병 발병 충격 소식 완벽하다 자신 일상 두렵다 애란 은 아들 병 채 결심 조로 울 것 같다 그녀 삶 유일하다 비밀 알 있다 경화 애란 의 불안 점점 광기 변하다 가장 날카롭다 충격 영화,스릴러,스릴러 나 모든 것 완벽하다 어디 자랑스럽다 아들 엄마 애란 은 군 생활 아들 도훈 조현병 발병 충격 소식 완벽하다 자신 일상 두렵다 애란 은 아들 병 채 결심 조로 울 것 같다 그녀 삶 유일하다 비밀 알 있다 경화 애란 의 불안 점점 광기 변하다 가장 날카롭다 충격 영화
5,간호중,http://www.cine21.com/movie/info/?movie_id=58747,"https://image.cine21.com/resize/cine21/poster/2021/1124/58747_619df3e592879[X224,320].jpg",SF,15세이상관람가, 79분, 2021-12-02,," 
													이유영													예수정													 ","요양병원에 10년째 식물인간으로 누워있는 환자와 지칠 대로 지친 보호자,그 둘을 보살피던 간병로봇이 자신의 돌봄 대상 중 누구를 살려야 할지 고뇌에 빠지는데…",요양병원에 10년째 식물인간으로 누워있는 환자와 지칠 대로 지친 보호자 그 둘을 보살피던 간병로봇이 자신의 돌봄 대상 중 누구를 살려야 할지 고뇌에 빠지는데 ,"['병원', '식물인간', '환자', '대로', '보호자', '그', '둘', '간병', '로봇', '자신', '대상', '중', '누구', '고뇌']",병원 식물인간 환자 대로 보호자 그 둘 간병 로봇 자신 대상 중 누구 고뇌,SF,SF 병원 식물인간 환자 대로 보호자 그 둘 간병 로봇 자신 대상 중 누구 고뇌
6,갈매기,http://www.cine21.com/movie/info/?movie_id=57163,"https://image.cine21.com/resize/cine21/poster/2021/0714/57163_60ee50643b87d[X224,320].jpg","드라마, 가족",, 74분, 2021-07-28,7.0," 
													정애화(오복)													이상희													 ","잘못은 그 새끼가 했는데, 나한테 가만히 있으란다
한강에 배 한 번 지나간 게 뭔 대수냐고 그란다
젊은 사람 발목 잡아 좋을 게 뭐가 있냔다
일평생 스스로를 챙겨본 적 없는 오복은
가족도 세상도 외면한 자신을 위해 처음 펄떡인다

“이 사람 저 사람 죄다 눈치보면 나는 언제 챙겨?”

세상을 향한 엄마 ‘오복’의 날갯짓이 시작된다",잘못은 그 새끼가 했는데 나한테 가만히 있으란다 한강에 배 한 번 지나간 게 뭔 대수냐고 그란다 젊은 사람 발목 잡아 좋을 게 뭐가 있냔다 일평생 스스로를 챙겨본 적 없는 오복은 가족도 세상도 외면한 자신을 위해 처음 펄떡인다 이 사람 저 사람 죄다 눈치보면 나는 언제 챙겨 세상을 향한 엄마 오복 의 날갯짓이 시작된다,"['잘못', '그', '새끼', '나', '있다', '한강', '배', '번', '게', '란', '젊다', '사람', '발목', '좋다', '게', '뭐', '있냔다', '일평생', '스스로', '적', '없다', '오복', '가족', '세상', '외면', '자신', '위해', '처음', '이', '사람', '저', '사람', '눈치', '나', '언제', '세상', '향', '엄마', '오복', '의', '날갯짓', '시작']",잘못 그 새끼 나 있다 한강 배 번 게 란 젊다 사람 발목 좋다 게 뭐 있냔다 일평생 스스로 적 없다 오복 가족 세상 외면 자신 위해 처음 이 사람 저 사람 눈치 나 언제 세상 향 엄마 오복 의 날갯짓 시작,드라마  가족,드라마  가족 잘못 그 새끼 나 있다 한강 배 번 게 란 젊다 사람 발목 좋다 게 뭐 있냔다 일평생 스스로 적 없다 오복 가족 세상 외면 자신 위해 처음 이 사람 저 사람 눈치 나 언제 세상 향 엄마 오복 의 날갯짓 시작
7,강릉,http://www.cine21.com/movie/info/?movie_id=58360,"https://image.cine21.com/resize/cine21/poster/2021/1108/12_27_53__61889939088fb[X224,320].jpg","액션, 범죄, 느와르",청소년 관람불가, 119분, 2021-11-10,4.33," 
													유오성(김길석)													장혁(이민석)													 ","강릉 최대 조직의 ‘길석’
평화와 의리를 중요시하며 질서 있게 살아가던 그의 앞에
강릉 최대 리조트 소유권을 노린 남자 ‘민석’이 나타난다

첫 만남부터 서늘한 분위기가 감도는 둘,
‘민석’이 자신의 목표를 위해 본격적으로 움직이기 시작하면서
두 조직 사이에는 겉잡을 수 없는 전쟁이 시작되는데..

거친 운명 앞에 놓인 두 남자
11월, 그들의 이야기가 시작된다",강릉 최대 조직의 길석 평화와 의리를 중요시하며 질서 있게 살아가던 그의 앞에 강릉 최대 리조트 소유권을 노린 남자 민석 이 나타난다 첫 만남부터 서늘한 분위기가 감도는 둘 민석 이 자신의 목표를 위해 본격적으로 움직이기 시작하면서 두 조직 사이에는 겉잡을 수 없는 전쟁이 시작되는데 거친 운명 앞에 놓인 두 남자 11월 그들의 이야기가 시작된다,"['강릉', '최대', '조직', '길석', '평화', '의리', '중요시', '질서', '있다', '그', '앞', '강릉', '최대', '리조트', '소유권', '남자', '민석', '이', '첫', '만남', '서늘하다', '분위기', '둘', '민석', '이', '자신', '목표', '위해', '본격', '시작', '두', '조직', '사이', '겉잡', '수', '없다', '전쟁', '시작', '운명', '앞', '두', '남자', '그', '이야기', '시작']",강릉 최대 조직 길석 평화 의리 중요시 질서 있다 그 앞 강릉 최대 리조트 소유권 남자 민석 이 첫 만남 서늘하다 분위기 둘 민석 이 자신 목표 위해 본격 시작 두 조직 사이 겉잡 수 없다 전쟁 시작 운명 앞 두 남자 그 이야기 시작,액션  범죄  느와르,액션  범죄  느와르 강릉 최대 조직 길석 평화 의리 중요시 질서 있다 그 앞 강릉 최대 리조트 소유권 남자 민석 이 첫 만남 서늘하다 분위기 둘 민석 이 자신 목표 위해 본격 시작 두 조직 사이 겉잡 수 없다 전쟁 시작 운명 앞 두 남자 그 이야기 시작
8,건파우더 밀크셰이크,http://www.cine21.com/movie/info/?movie_id=58238,"https://image.cine21.com/resize/cine21/poster/2021/0811/11_42_26__6113391298179[X224,320].jpg",액션,청소년 관람불가, 115분, 2021-09-08,5.67," 
													카렌 길런													레나 헤디													 ","남다른 유전자와 조기교육으로 완성된
혈중 액션농도 100%! 영앤스트롱 킬러 ‘샘’
15년 전, 업계에서 홀연히 사라졌던 실패율 0% 킬러이자 ‘샘’의 엄마 ‘스칼렛’
폭발적 지성이 잠들어 있는 시크릿 에이전시, ‘도서관’의 ‘킬’사부일체 3인방!

그들의 운명을 찢어 놓은 놈들을 날려버릴
달콤하고 시원한 복수가 시작된다!",남다른 유전자와 조기교육으로 완성된 혈중 액션농도 100 영앤스트롱 킬러 샘 15년 전 업계에서 홀연히 사라졌던 실패율 0 킬러이자 샘 의 엄마 스칼렛 폭발적 지성이 잠들어 있는 시크릿 에이전시 도서관 의 킬 사부일체 3인방 그들의 운명을 찢어 놓은 놈들을 날려버릴 달콤하고 시원한 복수가 시작된다 ,"['남다르다', '유전자', '조기교육', '완성', '혈중', '액션', '농도', '영앤스트롱', '킬러', '샘', '전', '업계', '홀', '연하다', '실패', '율', '킬러', '이자', '샘', '의', '엄마', '스칼렛', '폭발', '지성', '있다', '시크릿', '에이전시', '도서관', '의', '킬', '사부일체', '인방', '그', '운명', '놈', '달콤하다', '시원하다', '복수', '시작']",남다르다 유전자 조기교육 완성 혈중 액션 농도 영앤스트롱 킬러 샘 전 업계 홀 연하다 실패 율 킬러 이자 샘 의 엄마 스칼렛 폭발 지성 있다 시크릿 에이전시 도서관 의 킬 사부일체 인방 그 운명 놈 달콤하다 시원하다 복수 시작,액션,액션 남다르다 유전자 조기교육 완성 혈중 액션 농도 영앤스트롱 킬러 샘 전 업계 홀 연하다 실패 율 킬러 이자 샘 의 엄마 스칼렛 폭발 지성 있다 시크릿 에이전시 도서관 의 킬 사부일체 인방 그 운명 놈 달콤하다 시원하다 복수 시작
9,걸즈 앤 판처 최종장 제3화,http://www.cine21.com/movie/info/?movie_id=57845,"https://image.cine21.com/resize/cine21/poster/2021/1227/57845_61c97e5b4fb81[X224,320].jpg",애니메이션,12세이상관람가, 48분, 2022-01-12,," 
													후치가미 마이													카야노 아이													 ","날아가는 포탄! 꿰뚫는 엔진 소리!
한층 더 달아오른 동계 무한궤도배!
									첫 경기에서 강호 BC자유 고교를 꺾고
2회전에 오른 오아라이 여고 전차도 팀.

풀과 나무가 무성한 정글, 캄캄한 야전 환경
그리고 승리를 위해 온갖 돌격 전법으로 압박하는
치하탄 고교에 맞서 미호와 전차도 팀원들은 고군분투한다.

한편, 타 학교의 시합도 결과를 예측할 수 없는데…
과연 승리를 거머쥘 최종 우승 팀은 누구?!",날아가는 포탄 꿰뚫는 엔진 소리 한층 더 달아오른 동계 무한궤도배 첫 경기에서 강호 BC자유 고교를 꺾고 2회전에 오른 오아라이 여고 전차도 팀 풀과 나무가 무성한 정글 캄캄한 야전 환경 그리고 승리를 위해 온갖 돌격 전법으로 압박하는 치하탄 고교에 맞서 미호와 전차도 팀원들은 고군분투한다 한편 타 학교의 시합도 결과를 예측할 수 없는데 과연 승리를 거머쥘 최종 우승 팀은 누구 ,"['포탄', '엔진', '소리', '한층', '더', '동계', '무한궤도', '배', '첫', '경기', '강호', '자유', '고교', '오른', '라이', '여고', '전차', '팀', '풀', '나무', '무성', '정글', '캄캄하다', '야전', '환경', '승리', '위해', '온갖', '돌격', '법', '압박', '치하', '고교', '미호', '전차', '팀원', '곱다', '분투', '한편', '타', '학교', '시합', '결과', '예측', '수', '없다', '과연', '승리', '거머', '최종', '우승', '팀', '누구']",포탄 엔진 소리 한층 더 동계 무한궤도 배 첫 경기 강호 자유 고교 오른 라이 여고 전차 팀 풀 나무 무성 정글 캄캄하다 야전 환경 승리 위해 온갖 돌격 법 압박 치하 고교 미호 전차 팀원 곱다 분투 한편 타 학교 시합 결과 예측 수 없다 과연 승리 거머 최종 우승 팀 누구,애니메이션,애니메이션 포탄 엔진 소리 한층 더 동계 무한궤도 배 첫 경기 강호 자유 고교 오른 라이 여고 전차 팀 풀 나무 무성 정글 캄캄하다 야전 환경 승리 위해 온갖 돌격 법 압박 치하 고교 미호 전차 팀원 곱다 분투 한편 타 학교 시합 결과 예측 수 없다 과연 승리 거머 최종 우승 팀 누구
